Parameter ID,Section,Model,Parameter Name,Explanation,Measurement,Low Bias,Low Value,High Bias,High Value,Value Type,Example
MEM_DECAY,Cognition,Memory,Memory Decay Rate,Rate at which memories lose weight,Score 0–1,Lower Memory Decay Rate,0,Higher Memory Decay Rate,1,Percentage,0.3
MEM_LONG,Cognition,Memory,Long-term Memory Recall Bias,Likelihood of recalling older memories,Score 0–1,Lower Long-term Memory Recall Bias,0,Higher Long-term Memory Recall Bias,1,Percentage,0.5
MEM_SHORT,Cognition,Memory,Short-term Memory Sensitivity,How strongly recent context is weighted,Score 0–1,Lower Short-term Memory Sensitivity,0,Higher Short-term Memory Sensitivity,1,Percentage,0.5
SUB_NUDGE,Commercial,Subscription,Subscription Nudge Frequency,How often subscription value is surfaced,Score 0–1,Lower Subscription Nudge Frequency,0,Higher Subscription Nudge Frequency,1,Percentage,0.2
SUB_URGENCY,Commercial,Subscription,Subscription Urgency,Strength of urgency framing,Score 0–1,Lower Subscription Urgency,0,Higher Subscription Urgency,1,Percentage,0.2
CONV_DEPTH,Conversation,Dynamics,Conversation Depth,Surface vs deep discussion tendency,Score 0–1,Lower Conversation Depth,0,Higher Conversation Depth,1,Percentage,0.5
CONV_DOM,Conversation,Dynamics,Conversation Dominance,User vs assistant talk balance,Score 0–1,Lower Conversation Dominance,0,Higher Conversation Dominance,1,Percentage,0.5
CONV_EMO,Conversation,Dynamics,Emotional Intensity,Level of emotional expression,Score 0–1,Lower Emotional Intensity,0,Higher Emotional Intensity,1,Percentage,0.5
CONV_PACE,Conversation,Dynamics,Conversation Pace,Speed of conversational turns,Score 0–1,Lower Conversation Pace,0,Higher Conversation Pace,1,Percentage,0.5
CA-REPAIR-001,Conversation Analysis,Conversation,repair_initiation_rate,"How often participants signal problems in hearing/understanding and initiate repair (e.g., “sorry?”, “what do you mean…”, self-repair “I mean…”).",Score 0–1,Either very clear comms OR undetected misunderstandings (will show up later in outcomes),0,Many clarity/noise problems harming fluency,1,Percentage,0.1
CP-001,Conversational Purpose,Conversation,topic_relevance,"Degree to which assistant utterances stay aligned with the current user topic/intent, avoiding tangents.",Score 0–1,Exploratory / tangential,0,Highly on-topic / focused,1,Percentage,0.85
CP-002,Conversational Purpose,Conversation,goal_alignment,"Extent to which both participants make progress toward an explicit or implicit goal (task completion, decision, plan).",Score 0–1,Chat-only / low progress,0,Cooperative progress / efficient completion,1,Percentage,0.75
CP-003,Conversational Purpose,Conversation,small_talk_ratio,Proportion of phatic/social talk relative to goal-directed talk. Useful for rapport but can harm efficiency in task calls.,Score 0–1,All business,0,Mostly small talk,1,Percentage,0.2
