Parameters for High-Quality Dyadic Conversations (Eldar Boaz Revised 27/11/2025),column 2,column 3,column 4,column 5,Priorety - Eldar,Priorety - Boaz,column 8,column 9,column 10,column 11,column 12,column 13
SECTION A — Conversational Purpose,,,,,,,,,,,,
Parameter,Explanation,Measurement (Voice-Only),Effect of High vs Low Values,Relevant Theory / Framework,,,,,,,,
topic_relevance,Degree to which utterances match the conversation’s goal or current topic. Reframed to align with the merged taxonomy’s definition of Conversational Purpose.,Track semantic similarity of turns to the main topic or task using topic models or dialogue act analysis.,"High: Clear focus and coherent progress. Low: Confusion, topic drift, and reduced perceived usefulness.",Grice’s Maxim of Relevance.,5,4,,,,,,
goal_alignment,Extent to which both participants work toward the same conversational goal. Includes didactic goal alignment for teaching and tutoring scenarios.,"Detect whether questions receive appropriate answers, instructions lead to relevant responses, and contributions build toward the same outcome.","High: Cooperative progress and efficient task completion. Low: Parties talk at cross-purposes, causing frustration.",Collaborative communication and common ground.,3,5,,,,,,
small_talk_ratio,Proportion of phatic or social talk relative to task-focused content.,"Identify segments of greetings, pleasantries, and non-task comments versus substantive content.",High: Helpful for rapport in relational contexts but harmful for efficiency in task-focused calls. Low: Efficient but may feel cold or impersonal.,Phatic communication.,3,3,,,,,,
Engagement_level,Strength and persistence of user involvement with the topic beyond raw speaking time.,"Prosodic energy, back-channel density, latency of responses, and evidence of cognitive following, such as paraphrases or relevant follow-up questions.","High: User remains mentally active and invested even during listening phases. Low: Signs of drift, withdrawal, or only superficial participation.",{{BLUE:Engagement theory in instructional communication and learning analytics.}},5,5,,,,,,
SECTION B — Participant Roles,,,,,,,,,,,,
Parameter,Explanation,Measurement (Voice-Only),Effect of High vs Low Values,Relevant Theory / Framework,,,,,,,,
speaking_time_balance,"Balance of speaking time between participants, reflecting symmetry versus dominance. {{BLUE:Clarified to match merged taxonomy role-distribution framing.}}",Measure total speaking duration or word count per speaker and compute proportions.,"High balance: Both participants contribute and feel heard. Low balance: One dominates, which can reduce engagement if not expected by the setting.",Conversational dominance literature.,3,4,,,,,,
interruption_rate,Frequency of interruptions or overlapping speech indicating how well turn-taking is managed.,Detect overlaps where one speaker starts before the other finishes and note who initiates them.,"High: Can signal impatience or power assertion and disrupt flow. Low: Orderly turn-taking and perceived respect, unless the context expects lively overlap.",Turn-taking and dominance research.,4,5,,,,,,
listener_responsiveness,Frequency and timing of back-channel signals and acknowledgements from the listener.,Count short acknowledgements such as “mm-hmm” and “yeah” and check if they occur at appropriate junctures.,High: Signals active listening and supports grounding. Low: Speaker is unsure they are understood and may repeatedly check in.,Grounding in communication.,3,3,,,,,,
role_switch_frequency,"How often speaker and listener roles switch organically, indicating shared agency.","Track sequences of who holds the floor and when initiative shifts between asking, answering, and narrating.","High: Dynamic, collaborative interaction with shared initiative. Low: One party drives the conversation almost entirely, which can reduce the other’s engagement.",Conversational agency and role theories.,5,3,,,,,,
SECTION C — Social and Cultural Context,,,,,,,,,,,,
Parameter,Explanation,Measurement (Voice-Only),Effect of High vs Low Values,Relevant Theory / Framework,,,,,,,,
power_formality,Level of formality and power-distance cues in speech.,"Analyse polite forms, titles, hedging, and deferential tone compared to casual language and equal turn-taking.","High: Respectful but distant interaction, suitable for hierarchical contexts. Low: Informal peer-like tone, which can build comfort but may be risky in high power-distance settings.",Politeness theory.,3,2,,,,,,
politeness_level,Degree of politeness and face-saving behaviour in language use.,"Detect markers such as please, thank you, apologies, softeners, and indirect requests.","High: Courteous, face-preserving climate. Low: Blunt or potentially rude tone, fast but more likely to cause friction unless frankness is expected.",Brown and Levinson’s Politeness Theory.,2,4,,,,,,
cultural_style_adaptation,Adaptation to the partner’s expected cultural communication style within voice aspects.,"Observe adjustments in rate, formality, directness, and turn-taking to converge with the partner’s apparent norms.",High: Reduces misinterpretation and increases comfort. Low: Style clashes and perceived rudeness or awkwardness.,Communication Accommodation Theory.,4,4,,,,,,
